UID        PID  PPID  C STIME TTY          TIME CMD
root         1     0  0 Oct27 ?        00:00:05 /sbin/init splash
root         2     0  0 Oct27 ?        00:00:00 [kthreadd]
root         4     2  0 Oct27 ?        00:00:00 [kworker/0:0H]
root         6     2  0 Oct27 ?        00:00:00 [mm_percpu_wq]
root         7     2  0 Oct27 ?        00:00:04 [ksoftirqd/0]
root         8     2  0 Oct27 ?        00:05:19 [rcu_sched]
root         9     2  0 Oct27 ?        00:00:00 [rcu_bh]
root        10     2  0 Oct27 ?        00:00:00 [migration/0]
root        11     2  0 Oct27 ?        00:00:00 [watchdog/0]
root        12     2  0 Oct27 ?        00:00:00 [cpuhp/0]
root        13     2  0 Oct27 ?        00:00:00 [cpuhp/1]
root        14     2  0 Oct27 ?        00:00:00 [watchdog/1]
root        15     2  0 Oct27 ?        00:00:00 [migration/1]
root        16     2  0 Oct27 ?        00:00:02 [ksoftirqd/1]
root        18     2  0 Oct27 ?        00:00:00 [kworker/1:0H]
root        19     2  0 Oct27 ?        00:00:00 [cpuhp/2]
root        20     2  0 Oct27 ?        00:00:00 [watchdog/2]
root        21     2  0 Oct27 ?        00:00:00 [migration/2]
root        22     2  0 Oct27 ?        00:00:02 [ksoftirqd/2]
root        24     2  0 Oct27 ?        00:00:00 [kworker/2:0H]
root        25     2  0 Oct27 ?        00:00:00 [cpuhp/3]
root        26     2  0 Oct27 ?        00:00:00 [watchdog/3]
root        27     2  0 Oct27 ?        00:00:00 [migration/3]
root        28     2  0 Oct27 ?        00:00:01 [ksoftirqd/3]
root        30     2  0 Oct27 ?        00:00:00 [kworker/3:0H]
root        31     2  0 Oct27 ?        00:00:00 [cpuhp/4]
root        32     2  0 Oct27 ?        00:00:00 [watchdog/4]
root        33     2  0 Oct27 ?        00:00:00 [migration/4]
root        34     2  0 Oct27 ?        00:00:01 [ksoftirqd/4]
root        36     2  0 Oct27 ?        00:00:00 [kworker/4:0H]
root        37     2  0 Oct27 ?        00:00:00 [cpuhp/5]
root        38     2  0 Oct27 ?        00:00:00 [watchdog/5]
root        39     2  0 Oct27 ?        00:00:00 [migration/5]
root        40     2  0 Oct27 ?        00:00:01 [ksoftirqd/5]
root        42     2  0 Oct27 ?        00:00:00 [kworker/5:0H]
root        43     2  0 Oct27 ?        00:00:00 [cpuhp/6]
root        44     2  0 Oct27 ?        00:00:00 [watchdog/6]
root        45     2  0 Oct27 ?        00:00:00 [migration/6]
root        46     2  0 Oct27 ?        00:00:09 [ksoftirqd/6]
